DATES,price
2022/2/28,105.4140625
2022/3/1,105.4140625
2022/3/2,105.2265625
2022/3/3,105.25
2022/3/4,105.4296875
2022/3/7,105.2890625
2022/3/8,105.109375
2022/3/9,105.03125
2022/3/10,104.90625
2022/3/11,104.78125
2022/3/14,103.90625
2022/3/15,103.875
2022/3/16,103.71875
2022/3/17,103.875
2022/3/18,103.96095
2022/3/21,103.66405
2022/3/22,103.2891
2022/3/23,103.46095
2022/3/24,103.2344
2022/3/25,102.45315
2022/3/28,102.4063
2022/3/29,102.7266
2022/3/30,102.89845
2022/3/31,102.85155
2022/4/1,102.60155
2022/4/4,102.70315
2022/4/5,101.96875
2022/4/6,101.88285
2022/4/7,101.94535
2022/4/8,101.6172
2022/4/11,101.35155
2022/4/12,101.72655
2022/4/13,102
2022/4/14,101.40625
2022/4/18,101.4922
2022/4/19,101.14065
2022/4/20,101.52345
2022/4/21,101.07035
2022/4/22,101.03125
2022/4/25,101.50785
2022/4/26,101.76565
2022/4/27,101.44535
2022/4/28,101.5547
2022/4/29,101.0469
2022/5/2,100.82815
2022/5/3,100.77345
2022/5/4,101.32035
2022/5/5,100.8047
2022/5/6,100.39845
2022/5/9,100.91405
2022/5/10,101.14065
2022/5/11,101.2422
2022/5/12,101.52345
2022/5/13,101.3516
2022/5/16,101.42185
2022/5/17,100.88285
2022/5/18,101.10935
2022/5/19,101.41405
2022/5/20,101.64845
2022/5/23,101.3672
2022/5/24,101.81255
2022/5/25,101.96875
2022/5/26,102.07035
2022/5/27,102.17185
2022/5/31,101.75005
2022/6/1,101.375
2022/6/2,101.65625
2022/6/3,101.4922
2022/6/6,100.9844
2022/6/7,101.32815
2022/6/8,101.12505
2022/6/9,100.9922
